Hong Kong, Life tables (period 1x1), Males	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1986           0      0.00738  0.00733  0.13  100000     733   99365  7409725  74.10
  1986           1      0.00048  0.00048  0.50   99267      48   99243  7310360  73.64
  1986           2      0.00030  0.00030  0.50   99219      30   99204  7211117  72.68
  1986           3      0.00040  0.00040  0.50   99189      40   99170  7111913  71.70
  1986           4      0.00020  0.00020  0.50   99150      20   99140  7012743  70.73
  1986           5      0.00025  0.00025  0.50   99130      25   99118  6913603  69.74
  1986           6      0.00025  0.00025  0.50   99106      25   99093  6814486  68.76
  1986           7      0.00016  0.00016  0.50   99080      16   99072  6715393  67.78
  1986           8      0.00012  0.00012  0.50   99064      12   99059  6616320  66.79
  1986           9      0.00016  0.00016  0.50   99053      16   99045  6517262  65.80
  1986          10      0.00023  0.00023  0.50   99037      23   99026  6418216  64.81
  1986          11      0.00013  0.00013  0.50   99015      13   99008  6319190  63.82
  1986          12      0.00022  0.00022  0.50   99002      22   98991  6220182  62.83
  1986          13      0.00030  0.00030  0.50   98980      30   98965  6121191  61.84
  1986          14      0.00026  0.00026  0.50   98950      26   98937  6022226  60.86
  1986          15      0.00042  0.00042  0.50   98924      42   98904  5923289  59.88
  1986          16      0.00022  0.00022  0.50   98883      22   98872  5824385  58.90
  1986          17      0.00037  0.00037  0.50   98861      36   98843  5725513  57.91
  1986          18      0.00046  0.00046  0.50   98825      45   98802  5626670  56.94
  1986          19      0.00032  0.00032  0.50   98779      31   98764  5527869  55.96
  1986          20      0.00060  0.00060  0.50   98748      60   98718  5429105  54.98
  1986          21      0.00061  0.00061  0.50   98688      60   98658  5330387  54.01
  1986          22      0.00052  0.00052  0.50   98628      51   98602  5231729  53.05
  1986          23      0.00053  0.00053  0.50   98577      52   98551  5133127  52.07
  1986          24      0.00060  0.00060  0.50   98525      59   98495  5034576  51.10
  1986          25      0.00068  0.00068  0.50   98466      67   98432  4936080  50.13
  1986          26      0.00063  0.00063  0.50   98399      62   98368  4837648  49.16
  1986          27      0.00056  0.00056  0.50   98337      55   98310  4739280  48.19
  1986          28      0.00054  0.00054  0.50   98282      53   98255  4640970  47.22
  1986          29      0.00062  0.00062  0.50   98229      61   98198  4542715  46.25
  1986          30      0.00089  0.00089  0.50   98168      88   98124  4444516  45.27
  1986          31      0.00099  0.00099  0.50   98080      97   98031  4346393  44.31
  1986          32      0.00096  0.00096  0.50   97983      94   97936  4248361  43.36
  1986          33      0.00090  0.00090  0.50   97889      88   97845  4150425  42.40
  1986          34      0.00088  0.00088  0.50   97801      86   97757  4052581  41.44
  1986          35      0.00101  0.00100  0.50   97714      98   97665  3954823  40.47
  1986          36      0.00134  0.00134  0.50   97616     131   97551  3857158  39.51
